,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
579,615,microsoft.com,1309.45420265198,234.178066253662,0.0,117.089033126831,37.0,31.0,3448.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
592,628,thesaurus.com,785.129070281982,279.172658920288,256.0,139.586329460144,25485.0,3315.0,165076.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
602,638,spotify.com,460.817575454712,225.483894348145,384.0,112.741947174072,13279.0,3909.0,188485.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Entertainment Websites
618,655,thepiratebay.org,556.452035903931,254.062414169312,1491.0,127.031207084656,6564.0,4106.0,4971.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
639,678,caranddriver.com,466.837406158447,225.900650024414,273.0,112.950325012207,4189.0,2357.0,455512.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
645,685,expedia.com,695.448398590088,224.494218826294,401.0,112.247109413147,1589.0,1583.0,124.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
655,696,calculator.net,1025.21324157715,224.892377853394,339.0,112.446188926697,3539.0,2128.0,11466.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
656,698,www2.hm.com,480.460405349731,226.261138916016,254.0,113.130569458008,5187.0,4011.0,46936.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
657,699,grubhub.com,465.720653533936,225.034952163696,356.0,112.517476081848,23164.0,4219.0,261272.0,193.19.205.204,São Paulo,Brazil,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
659,701,facebook.com,93.5606956481934,47.5108623504639,209.0,23.7554311752319,1930.0,1534.0,132792.0,37.46.117.185,Sofia,Bulgaria,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Social Media Sites
